Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Gini_Index,Internet_Pct,Literacy_Rate,Unemp_Rate,Emp_Serv,GDP,Quality_of_Life_Index,Safety_Index,Health_Care_Index,Pollution_Index,Crime_Index,Safety_Index_Crime,CPI_Latest
Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,,,,,,,,,,,,,
Finland,Western Europe,7.842,0.032,7.904,7.78,10.775,0.954,72.0,0.949,-0.098,0.186,2.43,1.446,1.106,0.741,0.691,0.124,0.481,3.253,27.7,97.7,,6.719,74.8417817753911,280253099309.34,,,,,26.5,73.5,90
Denmark,Western Europe,7.62,0.035,7.687,7.552,10.933,0.954,72.7,0.946,0.03,0.179,2.43,1.502,1.108,0.763,0.686,0.208,0.485,2.868,27.7,92.4,,4.434,78.8055627605497,401945576107.963,,,,,26.6,73.4,90
Switzerland,Western Europe,7.571,0.036,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292,2.43,1.566,1.079,0.816,0.653,0.204,0.413,2.839,33.1,91.4,1.0,4.122,77.4258991344261,828508926958.393,179.5,70.8,71.2,19.4,24.9,75.1,86
Iceland,Western Europe,7.554,0.059,7.67,7.438,10.878,0.983,73.0,0.955,0.16,0.673,2.43,1.482,1.172,0.772,0.698,0.293,0.17,2.967,26.1,99.9,,3.789,77.9103158824829,28696453180.1657,,,,,25.0,75.0,82
Netherlands,Western Europe,7.464,0.027,7.518,7.41,10.932,0.942,72.4,0.913,0.175,0.338,2.43,1.501,1.079,0.753,0.647,0.302,0.384,2.798,29.2,90.7,,3.526,84.0580159953652,1046540797548.64,,,,,26.2,73.8,84
Indonesia,Southeast Asia,5.345,0.056,5.454,5.235,9.365,0.811,62.236,0.873,0.542,0.867,2.43,0.954,0.786,0.433,0.598,0.541,0.046,1.987,37.9,78.8,0.96,3.462,48.8471687400821,1319101183380.15,,,,,45.9,54.1,32
United States,North America and ANZ,6.951,0.029,7.008,6.894,11.023,0.92,68.2,0.837,0.098,0.698,2.43,1.502,1.079,0.782,0.703,0.249,0.427,2.58,41.5,92.4,,3.65,79.1026776348679,26006893000000.0,165.2,55.4,69.3,36.2,49.2,50.8,
Japan,East Asia,5.94,0.036,6.011,5.869,10.611,0.884,75.1,0.796,-0.258,0.638,2.43,1.478,1.062,0.763,0.685,0.244,0.448,2.683,32.9,94.2,1.0,2.6,73.3474508250245,4262463317796.53,168.9,77.5,80.1,38.9,22.9,77.1,74
Brazil,Latin America and Caribbean,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,48.9,77.1,0.94,9.231,70.7768565818982,1951923942083.32,,,,,66.1,33.9,43
Nigeria,Sub-Saharan Africa,4.759,0.052,4.861,4.658,8.533,0.74,50.102,0.737,0.037,0.878,2.43,0.663,0.625,0.051,0.433,0.212,0.039,2.736,35.1,63.8,0.62,3.821,47.4544623205846,477403400101.174,,,,,65.8,34.2,27
Afghanistan,South Asia,2.523,0.038,2.596,2.449,7.695,0.463,52.493,0.382,-0.102,0.924,2.43,0.37,0.0,0.126,0.0,0.122,0.01,1.895,,10.1,0.37,14.1,35.0708566065285,14497243872.1337,,,,,78.4,21.6,8
Singapore,Southeast Asia,6.377,0.036,6.448,6.306,11.488,0.915,76.953,0.927,-0.018,0.082,2.43,1.621,1.079,0.843,0.703,0.249,0.427,2.58,,81.1,0.97,3.591,85.6538334322121,509017841146.557,,,,,23.1,76.9,87
Malaysia,Southeast Asia,5.384,0.049,5.48,5.289,10.238,0.817,67.102,0.895,0.125,0.839,2.43,1.259,0.797,0.587,0.624,0.27,0.064,1.784,41.1,75.5,0.95,3.93,61.869957877501,407605841348.235,,,,,51.6,48.4,49
Thailand,Southeast Asia,5.985,0.038,6.06,5.91,9.805,0.888,67.401,0.884,0.287,0.895,2.43,1.126,0.83,0.634,0.585,0.092,0.089,2.961,35.0,75.5,0.94,0.94,47.3414841212733,495644697587.661,,,,,,,37
Vietnam,Southeast Asia,5.411,0.039,5.488,5.334,8.973,0.85,68.034,0.94,-0.098,0.796,2.43,0.817,0.873,0.616,0.679,0.124,0.091,2.211,35.7,69.9,0.96,,,,,,,,44.1,55.9,31
Philippines,Southeast Asia,5.88,0.052,5.982,5.778,9.076,0.83,62.0,0.917,-0.097,0.742,2.43,0.853,0.828,0.426,0.651,0.125,0.126,2.872,42.3,64.1,0.96,2.598,57.3764662561213,404353369604.631,,,,,42.6,57.4,34
